1 1 5 7 145 4 1 2 9 1981 2 0 0 5 6 145 1 -4 -4 1 4 4 3 3 2
2 1 5 7 135 3 3 1 7 1982 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 2 4 5 4 5
3 2 -2 -2 98 2 2 2 9 1983 2 0 0 5 2 140 2 -4 -4 1 2 2 4 2 4
4 4 5 1 186 4 1 2 2 1981 5 1 0 5 0 156 4 -4 -4 1 2 -4 -4 -4 -4
5 1 5 5 135 4 3 1 10 1982 2 0 0 5 4 125 1 -4 -4 1 2 2 3 6 3
6 4 5 5 156 3 1 2 1 1982 1 0 0 5 4 200 1 -4 -4 1 2 2 4 2 4
7 1 5 8 188 4 3 1 4 1983 1 0 0 5 4 200 1 -4 -4 1 2 -3 4 -3 4
8 1 5 8 135 3 4 2 6 1981 2 0 0 5 3 -2 1 -4 -4 1 4 5 2 5 2
9 1 5 9 160 3 4 1 10 1982 2 0 0 5 3 -2 1 -4 -4 1 4 4 3 2 3
10 2 5 2 85 2 2 1 3 1984 2 0 0 5 3 -2 1 -4 -4 1 4 -4 -4 -4 -4
11 2 5 4 120 3 1 2 6 1982 1 0 0 5 3 140 2 -4 -4 1 2 -4 -4 -4 -4
12 2 5 7 221 4 1 1 10 1981 2 0 0 5 5 150 1 -4 -4 1 2 -4 -4 -4 -4
13 2 4 9 -2 3 3 1 11 1984 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 2 -4 -4 -4 -4
14 2 5 7 150 3 3 1 7 1980 1 0 0 5 6 230 2 2 0 1 2 -4 -4 -4 -4
15 1 4 9 85 3 4 2 1 1983 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 2 -3 6 -3 6
16 3 5 10 140 2 2 1 2 1982 3 0 0 5 4 165 2 -4 -4 1 2 3 5 3 5
17 3 5 1 165 5 1 2 11 1981 2 0 0 5 4 135 2 -4 -4 1 2 -4 -4 -4 -4
18 4 5 7 126 2 3 1 2 1982 2 0 0 5 5 200 2 -4 -4 1 1 -4 -4 -4 -4
19 1 4 10 80 3 3 1 4 1984 2 0 0 5 5 200 2 -4 -4 1 1 3 6 5 6
20 3 5 9 145 3 2 1 12 1980 2 0 0 5 5 137 3 2 0 1 1 -4 -4 -4 -4
21 3 5 7 130 3 4 1 8 1982 2 0 0 5 4 186 2 -4 -4 1 2 -4 -4 -4 -4
22 4 5 9 193 5 3 1 6 1982 2 0 0 5 4 170 1 -4 -4 1 2 -3 5 -3 5
23 2 4 10 90 2 4 2 1 1983 4 0 0 5 2 149 2 -4 -4 1 2 2 6 2 6
24 1 5 3 90 3 3 1 6 1984 2 0 0 5 2 135 3 -4 -4 1 2 -4 -4 -4 -4
25 3 5 0 160 3 1 2 3 1983 3 0 0 5 4 165 3 -4 -4 1 2 -4 -4 -4 -4
26 1 5 6 135 2 2 1 10 1980 2 0 0 5 4 153 1 2 0 1 1 -3 4 -3 4
27 3 5 7 155 3 1 1 5 1981 3 0 0 5 4 130 3 -4 -4 1 1 -4 -4 -4 -4
28 1 5 1 110 1 2 2 11 1983 3 0 0 5 7 180 2 -4 -4 1 1 -4 -4 -4 -4
29 3 5 3 110 4 1 2 1 1983 2 0 0 5 9 140 1 -4 -4 1 4 -4 -4 -4 -4
30 1 5 5 125 3 4 1 6 1981 1 0 0 5 0 105 1 -4 -4 1 4 -4 -4 -4 -4
31 1 5 3 102 1 2 1 7 1982 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 4 4 3 4 3
32 3 5 8 143 3 3 2 7 1981 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 4 4 2 3 2
33 2 5 4 130 4 1 2 12 1980 4 0 0 5 4 123 3 2 0 1 4 5 5 5 2
34 2 5 0 80 3 3 2 12 1984 3 0 0 5 5 180 3 -4 -4 1 4 2 6 2 6
35 1 -3 -3 -3 3 4 1 1 1983 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 4 4 5 4 5
36 3 5 4 125 3 1 2 8 1980 1 0 0 5 2 145 1 2 0 1 4 -4 -4 -4 -4
37 2 5 6 135 3 3 2 11 1980 1 0 0 6 1 160 1 2 0 1 4 6 2 4 2
38 1 5 5 145 4 4 2 9 1981 1 0 0 6 1 160 1 -4 -4 1 4 -4 -4 -4 -4
39 3 5 11 155 3 3 1 2 1980 2 0 0 5 7 155 1 2 0 1 2 3 3 3 3
40 1 4 9 72 3 3 2 5 1984 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 4 1 6 2 6
41 1 5 0 90 3 4 2 1 1983 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 4 5 4 6 5
