pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
K2-184,b,K2-184 b,Transit,0,1,16.995731,0.1229,,,,,0.138,,0,0,1,0,08h36m33.63s,129.140106,+14d27m43.0s,14.461936,75.79,10.345,V (Johnson),10.13,5220,0.86,0.78,2018-10-26,K2
K2-185,b,K2-185 b,Transit,0,1,10.616646,,,88.932,,,0.117,,0,0,1,0,08h41m02.32s,130.259659,+14d41m25.2s,14.69032,270.41,12.215,V (Johnson),12.064,5722,0.98,0.91,2018-02-15,K2
K2-186,b,K2-186 b,Transit,0,1,41.474219,,,89.524,,,0.283,,0,0,1,0,09h01m20.39s,135.334976,+18d49m31.6s,18.825455,333.84,12.307,V (Johnson),12.171,5784,1.02,0.98,2018-02-15,K2
K2-187,b,K2-187 b,Transit,0,4,0.77392,0.0164,,,,,0.116,,0,0,1,0,08h50m05.67s,132.523605,+23d11m33.4s,23.1926,333.51,13.081,V (Johnson),12.867,5484,0.98,0.92,2018-10-26,K2
K2-187,c,K2-187 c,Transit,0,4,2.872042,0.0392,,,,,0.161,,0,0,1,0,08h50m05.67s,132.523605,+23d11m33.4s,23.1926,333.51,13.081,V (Johnson),12.867,5484,0.98,0.92,2018-10-26,K2
K2-187,d,K2-187 d,Transit,0,4,7.14921,0.072,,,,,0.283,,0,0,1,0,08h50m05.67s,132.523605,+23d11m33.4s,23.1926,333.51,13.081,V (Johnson),12.867,5484,0.98,0.92,2018-10-26,K2
K2-187,e,K2-187 e,Transit,0,4,13.609878,0.1106,,,,,0.212,,0,0,1,0,08h50m05.67s,132.523605,+23d11m33.4s,23.1926,333.51,13.081,V (Johnson),12.867,5484,0.98,0.92,2018-10-26,K2
K2-188,b,K2-188 b,Transit,0,2,1.742169,0.0289,,,,,0.12,,0,0,1,0,08h39m15.27s,129.813629,+23d21m26.9s,23.357481,452.9,12.646,V (Johnson),12.49,5977,1.06,1.19,2018-10-26,K2
K2-188,c,K2-188 c,Transit,0,2,7.810253,0.0785,,,,,0.252,,0,0,1,0,08h39m15.27s,129.813629,+23d21m26.9s,23.357481,452.9,12.646,V (Johnson),12.49,5977,1.06,1.19,2018-10-26,K2
K2-189,b,K2-189 b,Transit,0,2,2.588309,0.0361,,,,,0.136,,0,0,1,2,13h34m29.11s,203.621292,-15d02m10.9s,-15.036359,243.93,12.399,V (Johnson),12.254,5519,0.94,0.87,2018-10-26,K2
K2-189,c,K2-189 c,Transit,0,2,6.679195,0.068,,,,,0.223,,0,0,1,1,13h34m29.11s,203.621292,-15d02m10.9s,-15.036359,243.93,12.399,V (Johnson),12.254,5519,0.94,0.87,2018-10-26,K2
K2-19,b,K2-19 b,Transit,0,3,7.9194,0.074,,89.47,,,0.691,,1,0,1,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,292.14,13,V (Johnson),12.815,5430,0.93,0.86,2016-07-07,K2
K2-19,c,K2-19 c,Transit,0,3,11.90715,0.0971,,87.99,,,0.434,,1,0,1,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,292.14,13,V (Johnson),12.815,5430,0.93,0.86,2016-07-07,K2
K2-19,d,K2-19 d,Transit,0,3,2.50856,0.0344,,85.83,,,0.102,,1,0,1,0,11h39m50.47s,174.960312,+00d36m12.9s,0.603575,292.14,13,V (Johnson),12.815,5430,0.93,0.86,2016-07-07,K2
K2-190,b,K2-190 b,Transit,0,2,10.098858,,,88.357,,,0.121,,0,0,1,0,13h41m27.24s,205.363495,-13d09m39.2s,-13.160896,161.42,11.138,V (Johnson),10.959,5631,0.9,0.91,2018-02-15,K2
K2-190,c,K2-190 c,Transit,0,2,21.574023,,,88.977,,,0.098,,0,0,1,0,13h41m27.24s,205.363495,-13d09m39.2s,-13.160896,161.42,11.138,V (Johnson),10.959,5631,0.9,0.91,2018-02-15,K2
K2-191,b,K2-191 b,Transit,0,1,2.858646,,,87.051,,,0.141,,0,0,1,0,13h26m33.40s,201.639175,-12d48m23.6s,-12.806568,289.57,13.258,V (Johnson),12.995,5176,0.9,0.84,2018-02-15,K2
K2-192,b,K2-192 b,Transit,0,1,4.162817,0.049,,,,,0.136,,0,0,1,0,13h46m19.75s,206.582275,-11d33m22.5s,-11.556253,223.99,12.704,V (Johnson),12.45,5222,0.9,0.81,2018-10-26,K2
K2-193,b,K2-193 b,Transit,0,1,14.786889,0.1184,,,,,0.352,,0,0,1,0,13h40m56.89s,205.237061,-11d00m33.5s,-11.009296,416.91,13.251,V (Johnson),13.095,5817,1.01,0.98,2018-10-26,K2
K2-194,b,K2-194 b,Transit,0,1,39.721386,,,89.065,,,0.325,,0,0,1,0,13h38m26.14s,204.608932,-08d55m37.7s,-8.92715,640.65,12.908,V (Johnson),12.838,5979,1.11,1.28,2018-02-15,K2
K2-195,b,K2-195 b,Transit,0,2,15.852975,0.1208,,,,,0.279,,0,0,1,0,13h19m19.56s,199.831512,-08d30m34.1s,-8.50948,317.83,12.497,V (Johnson),12.324,5713,0.94,0.99,2018-10-26,K2
K2-195,c,K2-195 c,Transit,0,2,28.482786,,,88.537,,,0.23,,0,0,1,0,13h19m19.56s,199.831512,-08d30m34.1s,-8.50948,317.83,12.497,V (Johnson),12.324,5713,0.94,0.99,2018-02-15,K2
K2-196,b,K2-196 b,Transit,0,1,48.324222,,,88.274,,,0.321,,0,0,1,0,13h21m49.52s,200.456345,-08d28m18.2s,-8.471721,594.09,12.06,V (Johnson),11.927,6045,1.16,1.54,2018-02-15,K2
K2-197,b,K2-197 b,Transit,0,1,8.357881,0.0806,,,,,0.228,,0,0,1,0,13h29m34.48s,202.393661,-07d22m26.4s,-7.374002,249.59,12.157,V (Johnson),11.994,5667,1,0.93,2018-10-26,K2
K2-198,b,K2-198 b,Transit,0,1,17.043179,,,89.397,,,0.367,,0,0,1,0,13h15m22.51s,198.843811,-06d27m53.6s,-6.464886,110.91,10.971,V (Johnson),10.996,5262,0.84,0.78,2018-02-15,K2
K2-199,b,K2-199 b,Transit,0,2,3.225338,0.0385,,,,,0.167,,0,0,1,0,13h55m36.41s,208.901703,-06d08m10.1s,-6.136143,107.97,12.289,V (Johnson),11.905,4648,0.73,0.68,2018-10-26,K2
K2-199,c,K2-199 c,Transit,0,2,7.374694,0.0668,,,,,0.248,,0,0,1,0,13h55m36.41s,208.901703,-06d08m10.1s,-6.136143,107.97,12.289,V (Johnson),11.905,4648,0.73,0.68,2018-10-26,K2
K2-200,b,K2-200 b,Transit,0,1,2.849883,,,87.968,,,0.122,,0,0,1,0,13h29m00.38s,202.251602,-04d36m36.8s,-4.610228,185.09,12.459,V (Johnson),12.231,5233,0.86,0.79,2018-02-15,K2
K2-201,b,K2-201 b,Transit,0,2,1.05979,,,84.414,,,0.125,,0,0,1,0,19h34m14.58s,293.56073,-23d07m51.7s,-23.131035,199.05,12.809,V (Johnson),11.943,5507,0.96,0.88,2018-02-15,K2
K2-201,c,K2-201 c,Transit,0,2,22.779878,,,89.272,,,0.293,,0,0,1,0,19h34m14.58s,293.56073,-23d07m51.7s,-23.131035,199.05,12.809,V (Johnson),11.943,5507,0.96,0.88,2018-02-15,K2
K2-202,b,K2-202 b,Transit,0,1,3.405164,,,87.672,,,0.205,,0,0,1,0,18h53m03.43s,283.264282,-22d24m25.3s,-22.407034,302.99,13.297,V (Johnson),13.044,5491,0.97,0.91,2018-02-15,K2
K2-203,b,K2-203 b,Transit,0,1,9.695101,,,88.43,,,0.122,,0,0,1,0,00h51m05.70s,12.773741,-01d11m45.2s,-1.195891,166.93,12.353,V (Johnson),12.122,5000,0.79,0.76,2018-02-15,K2
K2-204,b,K2-204 b,Transit,0,1,7.055784,,,87.649,,,0.272,,0,0,1,0,01h09m31.81s,17.382523,-00d31m03.4s,-0.51762,586.87,13.01,V (Johnson),12.889,5755,1.01,1.18,2018-02-15,K2
K2-205,b,K2-205 b,Transit,0,1,26.672263,,,89.097,,,0.178,,0,0,1,0,01h00m52.20s,15.217487,+00d25m33.6s,0.425996,409.95,12.391,V (Johnson),12.251,5890,0.95,1.08,2018-02-15,K2
K2-206,b,K2-206 b,Transit,0,1,18.294549,,,89.112,,,0.249,,0,0,1,0,00h45m01.52s,11.256313,+00d35m35.7s,0.593257,246.14,13.1,V (Johnson),12.827,5043,0.79,0.76,2018-02-15,K2
K2-207,b,K2-207 b,Transit,0,1,12.48749,,,88.62,,,0.232,,0,0,1,0,00h46m47.93s,11.699704,+00d38m26.9s,0.640796,366.84,13.166,V (Johnson),12.969,5522,0.94,0.93,2018-02-15,K2
K2-208,b,K2-208 b,Transit,0,1,4.190948,,,88.043,,,0.15,,0,0,1,0,01h23m06.98s,20.779097,+00d53m21.0s,0.889177,258.76,12.503,V (Johnson),12.314,5582,0.93,0.86,2018-02-15,K2
K2-209,b,K2-209 b,Transit,0,1,2.080615,,,86.231,,,0.077,,0,0,1,0,00h58m45.76s,14.690681,+01d23m01.7s,1.383812,76.67,11.205,V (Johnson),10.745,4720,0.74,0.71,2018-02-15,K2
K2-21,b,K2-21 b,Transit,0,2,9.325038,0.076,0.1,88.98,,,0.164,,0,0,1,0,22h41m12.88s,340.30368,-14d29m20.4s,-14.488987,83.85,12.85,V (Johnson),12.278,4222.06,0.68,0.65,2017-10-26,K2
K2-21,c,K2-21 c,Transit,0,2,15.50192,0.107,0.21,88.85,,,0.222,,0,0,1,0,22h41m12.88s,340.30368,-14d29m20.4s,-14.488987,83.85,12.85,V (Johnson),12.278,4222.06,0.68,0.65,2017-10-26,K2
K2-210,b,K2-210 b,Transit,0,1,0.570233,,,84.105,,,0.073,,0,0,1,0,01h10m33.82s,17.640936,+01d34m41.8s,1.578266,177.39,11.535,V (Johnson),11.585,5396,0.91,0.85,2018-02-15,K2
K2-211,b,K2-211 b,Transit,0,1,0.669558,,,81.569,,,0.123,,0,0,1,0,01h24m25.43s,21.105953,+01d42m17.8s,1.704954,274.39,13.075,V (Johnson),12.933,5221,0.88,0.82,2018-02-15,K2
K2-212,b,K2-212 b,Transit,0,1,9.79551,0.0785,,,,,0.225,,0,0,1,0,01h13m41.62s,18.423407,+03d05m49.0s,3.096936,109.32,13.1,V (Johnson),12.55,4272,0.67,0.65,2018-10-26,K2
K2-213,b,K2-213 b,Transit,0,1,8.13087,,,87.862,,,0.135,,0,0,1,0,00h52m33.67s,13.140305,+03d30m27.7s,3.507705,394.05,11.803,V (Johnson),12.041,5794,1.07,1.2,2018-02-15,K2
K2-214,b,K2-214 b,Transit,0,1,8.596802,0.0834,,,,,0.217,,0,0,1,0,00h59m30.26s,14.876077,+04d13m40.1s,4.227798,303.28,11.805,V (Johnson),11.599,5854,1.05,1.27,2018-10-26,K2
K2-215,b,K2-215 b,Transit,0,1,8.269648,,,88.984,,,0.189,,0,0,1,0,01h13m52.82s,18.470087,+06d07m26.0s,6.123902,408.67,12.986,V (Johnson),12.83,5704,1,0.97,2018-02-15,K2
K2-216,b,K2-216 b,Transit,0,1,2.1748,0.028,0,86.9,0.02517,Mass,0.156,8.2,0,0,1,0,00h45m55.26s,11.480249,+06d20m49.1s,6.346971,115.94,12.476,V (Johnson),12.058,4503,0.7,0.72,2018-11-01,K2
K2-217,b,K2-217 b,Transit,0,1,14.074524,,,88.043,,,0.319,,0,0,1,0,00h45m11.61s,11.298392,+06d28m53.6s,6.481562,386.01,12.187,V (Johnson),12.028,5967,1.1,1.33,2018-02-15,K2
K2-218,b,K2-218 b,Transit,0,1,8.679885,,,88.453,,,0.229,,0,0,1,0,00h51m14.32s,12.809659,+06d50m47.3s,6.84646,398.41,12.876,V (Johnson),12.714,5757,1.05,1.01,2018-02-15,K2
K2-219,b,K2-219 b,Transit,0,3,3.901287,,,86.795,,,0.12,,0,0,1,0,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,12.09,V (Johnson),11.911,5753,1.02,1.19,2018-02-15,K2
K2-219,c,K2-219 c,Transit,0,3,6.66767,,,87.269,,,0.128,,0,0,1,0,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,12.09,V (Johnson),11.911,5753,1.02,1.19,2018-02-15,K2
K2-219,d,K2-219 d,Transit,0,3,11.137278,,,88.287,,,0.23,,0,0,1,0,00h51m22.87s,12.845309,+08d52m03.5s,8.86764,328.42,12.09,V (Johnson),11.911,5753,1.02,1.19,2018-02-15,K2
K2-22,b,K2-22 b,Transit,0,1,0.381078,0.0088,,,1.4,Mass,0.223,,0,0,1,0,11h17m55.88s,169.482819,+02d37m08.7s,2.61907,245.53,15.597,V (Johnson),14.954,3830,0.6,0.57,2015-10-15,K2
K2-220,b,K2-220 b,Transit,0,1,13.683256,0.1104,,,,,0.213,,0,0,1,0,00h51m04.77s,12.769862,+09d31m00.5s,9.516806,234.92,11.89,V (Johnson),11.721,5660,0.96,1.02,2018-10-26,K2
K2-221,b,K2-221 b,Transit,0,1,2.399094,,,85.447,,,0.15,,0,0,1,0,01h06m37.20s,16.654982,+10d11m22.9s,10.189687,321.63,12.703,V (Johnson),12.415,5716,1.01,0.95,2018-02-15,K2
K2-222,b,K2-222 b,Transit,0,1,15.387063,0.1211,,,,,0.213,,0,0,1,0,01h05m50.95s,16.46228,+11d45m12.3s,11.753423,101.59,9.543,V (Johnson),9.361,6058,1,1.09,2018-10-26,K2
K2-223,b,K2-223 b,Transit,0,2,0.50565,0.0127,,,,,0.079,,0,0,1,0,12h21m13.48s,185.306152,-10d16m55.3s,-10.282037,201.1,11.431,V (Johnson),11.274,5835,1.06,0.99,2018-07-12,K2
K2-223,c,K2-223 c,Transit,0,2,4.56327,0.0549,,,,,0.14,,0,0,1,0,12h21m13.48s,185.306152,-10d16m55.3s,-10.282037,201.1,11.431,V (Johnson),11.274,5835,1.06,0.99,2018-07-12,K2
K2-224,b,K2-224 b,Transit,0,2,4.47904,0.0516,,,,,0.139,,0,0,1,0,12h38m48.98s,189.704086,-10d03m38.4s,-10.060654,277.7,12.682,V (Johnson),12.522,5620,0.91,0.84,2018-07-12,K2
K2-224,c,K2-224 c,Transit,0,2,10.09489,0.0886,,,,,0.215,,0,0,1,0,12h38m48.98s,189.704086,-10d03m38.4s,-10.060654,277.7,12.682,V (Johnson),12.522,5620,0.91,0.84,2018-07-12,K2
K2-225,b,K2-225 b,Transit,0,1,15.87209,0.134,,,,,0.311,,0,0,1,0,12h26m09.91s,186.54129,-09d37m29.3s,-9.624804,360.3,11.836,V (Johnson),11.52,5742,1.27,1.7,2018-07-12,K2
K2-226,b,K2-226 b,Transit,0,1,3.27108,0.0413,,,,,0.137,,0,0,1,0,12h14m34.98s,183.645752,-09d33m45.5s,-9.562642,211.2,12.308,V (Johnson),12.092,5424,0.88,0.91,2018-07-12,K2
K2-227,b,K2-227 b,Transit,0,1,13.621832,,,88.374,,,0.149,,0,0,1,0,12h43m47.63s,190.948471,-08d28m41.7s,-8.478236,188.22,12.015,V (Johnson),11.495,5673,0.95,0.89,2018-02-15,K2
K2-228,b,K2-228 b,Transit,0,1,2.69828,0.0338,,,,,0.108,,0,0,1,0,12h29m10.75s,187.294785,-06d50m03.3s,-6.834258,142.4,12.995,V (Johnson),12.653,4715,0.71,0.65,2018-07-12,K2
K2-229,b,K2-229 b,Transit,0,2,0.58426,0.0131,,,,,0.102,,0,0,1,0,12h27m29.58s,186.87326,-06d43m18.7s,-6.721861,103.8,10.985,V (Johnson),10.786,5315,0.87,0.79,2018-07-12,K2
K2-229,c,K2-229 c,Transit,0,2,8.32727,0.0769,,,,,0.181,,0,0,1,0,12h27m29.58s,186.87326,-06d43m18.7s,-6.721861,103.8,10.985,V (Johnson),10.786,5315,0.87,0.79,2018-07-12,K2
K2-230,b,K2-230 b,Transit,0,1,2.86041,0.0409,,,,,0.175,,0,0,1,0,12h45m27.17s,191.363205,-06d34m34.0s,-6.576109,548.9,12.707,V (Johnson),12.575,5945,1.11,1.39,2018-07-12,K2
K2-231,b,K2-231 b,Transit,0,1,13.841901,,,88.6,,,0.223,,0,0,1,0,19h16m22.04s,289.091827,-15d46m16.0s,-15.771108,295,12.708,V (Johnson),12.559,5695,1.01,0.95,2018-04-05,K2
K2-232,b,K2-232 b,Transit,0,1,11.168454,0.10356,0.258,89.14,0.398,Mass,1,,0,0,1,1,04h55m03.96s,73.76651,+18d39m16.3s,18.654535,131.21,9.899,V (Johnson),9.726,6154,1.19,1.16,2018-04-05,K2
K2-233,b,K2-233 b,Transit,0,3,2.46746,0.03317,0,88.79,,,0.125,,0,0,1,1,15h21m55.20s,230.47998,-20d13m54.1s,-20.231684,67.64,10.726,V (Johnson),10.419,4950,0.8,0.74,2018-04-26,K2
K2-233,c,K2-233 c,Transit,0,3,7.06142,0.06687,0,88.95,,,0.119,,0,0,1,1,15h21m55.20s,230.47998,-20d13m54.1s,-20.231684,67.64,10.726,V (Johnson),10.419,4950,0.8,0.74,2018-04-26,K2
K2-233,d,K2-233 d,Transit,0,3,24.3662,0.1527,0,89.35,,,0.236,,0,0,1,1,15h21m55.20s,230.47998,-20d13m54.1s,-20.231684,67.64,10.726,V (Johnson),10.419,4950,0.8,0.74,2018-04-26,K2
K2-237,b,K2-237 b,Transit,0,1,2.18056,0.037,0,84.3,1.6,Mass,1.65,0.44,0,0,1,0,16h55m04.53s,253.76889,-28d42m38.0s,-28.710564,458,11.601,V (Johnson),11.467,6257,1.28,1.43,2018-06-21,Paranal Observatory
K2-238,b,K2-238 b,Transit,0,1,3.20466,0.046,0,84.5,0.86,Mass,1.3,0.56,0,0,1,0,23h10m49.04s,347.704346,-07d51m27.0s,-7.857499,453,13.748,V (Johnson),13.664,5630,1.19,1.59,2018-06-21,Paranal Observatory
