gene_id,gene_short_name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,A0,t_half
YDR349C,YPS7,270.028783673024,140.014454374433,55.1859039282851,16.923632278559502,7.880508205705921,5.12302317575377,6.6703284011872395,6.7409315909200895,0.6441075403922789,2.83541,1.7804238486785502,7.59264996546506,273.5765365351575,4.544917253139468
YDR352W,YDR352W,359.51541655520106,139.698113485947,40.1074225904552,11.255635474932001,12.507422920457001,12.812364303407,5.81230019252399,3.29193358133391,6.81524070175439,7.714580000000001,7.53539301413645,12.359497707321598,360.6829026140204,3.470849429100552
YDR353W,TRR1,1240.47344227907,1338.95235312783,1118.7733647295802,918.681460966152,581.1144403169329,297.234275835674,154.039441325947,100.151132457481,60.850277420690404,41.6682,52.328949366933,63.7594697934172,1511.466964772632,13.262668784815249
YDR354C-A,YDR354C-A,5293.49240350076,2776.8238430417,2046.04359733918,280.22893437437597,190.297051239662,0.0,75.7994010499551,200.343371675785,124.43038901309299,78.2502,0.0,112.828199395265,5345.780617288618,5.364523983562456
YDR354W,TRP4,750.277658576277,528.187132026292,235.54132756160098,64.5634922342136,35.796120617530796,18.104802073589898,19.2323000718662,9.640591237213231,11.9752758495058,16.430999999999997,10.5323613700061,13.820139107464302,786.7098373082695,5.796383826251081
YDR357C,CNL1,554.970861676159,311.850495478241,208.76519634535,97.50904315213171,80.4049844678514,80.5018455431979,41.446787355421705,64.73216772234629,61.8527665476375,85.5737,42.742832569145705,84.128132952066,530.9223820577513,7.727072971689291
YDR361C,BCP1,344.119823378118,232.105900317316,81.9207693118047,39.0830984478936,16.8893173484102,10.2665805096331,3.84421668332802,5.080260686664411,6.31056522382653,1.98425,6.541306322065151,2.8610758446435,357.65105962376646,5.484348159621719
YDR364C,CDC40,59.7763776121773,11.613763725067999,2.2800829025316203,2.63706001923057,3.35769319636504,1.2699878247514198,1.06995083851382,0.7069898298762651,0.0,1.10455,0.0,0.0,59.7285322368335,2.153416787168477
YDR365C,ESF1,160.667722090139,101.405048934723,22.602294518952398,4.10354780908145,2.786616123018,2.6349780693952205,2.2199400554304103,0.9779073157148491,0.6073651552036429,1.90976,1.67885987141979,1.65219794014142,167.04770438129276,4.547051936004559
YDR367W,KEI1,496.392152473754,268.87393816863096,130.231731564755,58.1444666575593,37.22825588193879,20.8013514577895,8.088428475244841,17.815275966054102,13.2777593210164,20.8749,3.0585000774431497,12.039714325165699,498.890898331306,5.293764498616685
YDR368W,YPR1,387.294456760404,298.894358964189,253.982299988737,164.97201593404898,146.771221769416,113.642231821835,78.7968061798459,67.18238406520821,31.989966754644698,27.9895,21.1452519114935,21.440116104864398,393.12633643722546,13.202513867120446
YDR370C,YDR370C,59.740427363114996,6.008203181097009,3.14550832830896,2.04637106604596,4.16891804827217,1.3140194163254098,0.5535229130097099,2.92599894406673,1.8173012140971898,3.42852,2.5116666133988903,0.823926416353504,59.703229948560356,1.5780701403291493
YDR371C-A,YDR371C-A,713.265059457421,381.088618880326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.176227977408,3.581723521582886
YDR372C,VPS74,512.917148980928,268.47455779691796,124.113599867489,39.5671294658526,26.244093683874503,7.090298350772719,10.453620936129301,2.96032027382196,3.67723304507582,3.08332,5.08223783159189,4.445812832671191,518.3044388257136,4.819227813638613
YDR373W,FRQ1,2366.73011573955,1507.69056017679,840.2559649243691,220.86615544183,382.461324067555,148.914244439427,143.381651026913,47.3708962208559,0.0,111.01299999999999,121.98846985248899,80.0341814758987,2404.5387353523283,6.3915661298448985
YDR374W-A,WIP1,288.08590708686404,125.416969979601,71.6293942821554,41.422189571358,31.6449346776692,59.845697692184,42.016016209526896,0.0,0.0,60.7244,38.130366109403795,100.06626891885,273.29510262867024,5.876736624182716
YDR375C,BCS1,86.72411879973801,65.1593030711695,31.080993675255606,23.672603170416497,18.7547045805991,5.06688920631033,3.7351986658674403,4.93620401423404,2.62783970604979,3.3051199999999996,3.63189065396435,1.5885401721075902,89.36823412625951,7.823659277026506
YDR376W,ARH1,119.40491487427799,55.532983930190404,24.227871646116398,7.20545299460914,6.116297173984469,3.47007018600308,4.87250191131779,1.28783680689293,5.59901162345392,1.50901,7.738306510141361,2.90111255883924,119.68518369454398,4.376870472108932
YDR377W,ATP17,1917.57416692135,1574.97560811423,984.4193652728729,488.991106030832,394.01394556003,231.97834161034302,189.516869077889,211.32112924064398,106.94310832686399,128.392,214.98751026429,79.3402522656653,2005.3952454868397,9.23007684224583
YDR378C,LSM6,1440.2639219274,1160.582225068,673.652582332324,297.900451256292,361.79997835168604,253.82431772846599,316.118141508674,245.74100260058202,198.41520012420398,268.749,189.849398279041,290.630092817508,1401.1439320403133,11.469682339214447
YDR379C-A,YDR379C-A,245.233210204608,262.050531108341,102.894600792415,104.12912447641399,196.981177148168,57.3114896795083,48.2843554300852,79.76189753636321,99.07803789784201,24.9228,82.1604859004302,125.776036313925,233.35220053256936,23.047336137028598
YDR380W,ARO10,196.270990658676,103.130095342248,67.4904042880522,37.8277833597797,16.972321959332,8.67498071768101,8.40486934157055,2.41464210156104,2.3995183682657997,4.1496900000000005,3.3163328242163503,2.71972619479857,194.4232230295157,6.064648602246135
YDR381C-A,YDR381C-A,317.741227144813,184.657073696736,155.926859790235,75.74283346959359,82.6635353451432,15.6330690033144,30.731536296282002,23.20730046271,28.827506308544198,36.2573,29.8815768531039,65.3489091208663,304.52590648192796,9.053050906798138
YDR381W,YRA1,1115.73415674056,825.537681550317,515.67187080189,307.322265812675,211.42673098262298,63.540755569758794,60.060793905877894,62.1175243361944,62.1571849661026,60.6548,56.283564339274704,60.2486327070082,1151.8464193805173,8.270252421216647
YDR382W,RPP2B,47857.8602095696,47496.27775385309,38748.347223565695,31515.0606624563,28772.6388411675,20905.7360248923,15997.7053203523,12913.5481358113,8753.827751384359,5958.82,4618.25683958205,3990.147637207,53539.767324635024,17.721329777068796
YDR384C,ATO3,511.95982212387605,223.43124001586602,46.7897903797099,4.91957747753807,21.2974468893458,13.030746165657598,11.9762917222421,15.8270883527109,4.914995625938,8.242339999999999,13.5858752870313,8.91342410700161,517.2872187918932,3.5784406924233325
